RoleName;OuName;Verb;Parameters
Pm-EA-AD-Client-ManageComputer;%OrgClientsOU%;ManageComputers;
Pm-EA-AD-User-Employee-Create;%OrgEmployeeAcctsOU%;CreateUsers;
Pm-EA-AD-User-Employee-Delete;%OrgEmployeeAcctsOU%;DeleteUsers;
Pm-EA-AD-User-Employee-FullControl;%OrgEmployeeAcctsOU%;FullControlUsers;
Pm-EA-AD-User-Employee-Manage;%OrgEmployeeAcctsOU%;ManageUsers;
Pm-EA-AD-User-Employee-PwReset;%OrgEmployeeAcctsOU%;ResetPwd;
Pm-EA-AD-User-External-Create;%OrgExternalAcctsOU%;CreateUsers;
Pm-EA-AD-User-External-Delete;%OrgExternalAcctsOU%;DeleteUsers;
Pm-EA-AD-User-External-FullControl;%OrgExternalAcctsOU%;FullControlUsers;
Pm-EA-AD-User-External-Manage;%OrgExternalAcctsOU%;ManageUsers;
Pm-EA-AD-User-External-PwReset;%OrgExternalAcctsOU%;ResetPwd;
Pm-EA-AD-User-Robot-Create;%OrgRobotAcctsOU%;CreateUsers;
Pm-EA-AD-User-Robot-Delete;%OrgRobotAcctsOU%;DeleteUsers;
Pm-EA-AD-User-Robot-FullControl;%OrgRobotAcctsOU%;FullControlUsers;
Pm-EA-AD-User-Robot-Manage;%OrgRobotAcctsOU%;ManageUsers;
Pm-EA-AD-User-Robot-PwReset;%OrgRobotAcctsOU%;ResetPwd;
Pm-EA-AD-User-Shared-Create;%OrgSharedAcctsOU%;CreateUsers;
Pm-EA-AD-User-Shared-Delete;%OrgSharedAcctsOU%;DeleteUsers;
Pm-EA-AD-User-Shared-FullControl;%OrgSharedAcctsOU%;FullControlUsers;
Pm-EA-AD-User-Shared-Manage;%OrgSharedAcctsOU%;ManageUsers;
Pm-EA-AD-User-Shared-PwReset;%OrgSharedAcctsOU%;ResetPwd;
Pm-EA-AD-Group-Role-Create;%OrgRolesOU%;CreateGroups;
Pm-EA-AD-Group-Role-Delete;%OrgRolesOU%;DeleteGroups;
Pm-EA-AD-Group-Role-Manage;%OrgRolesOU%;ManageGroups;
Pm-T0-AD-User-ServiceAccount-Manage;%T0SvcAcctsOU%;ManageUsers;
Pm-T0-AD-User-ServiceAccount-Create;%T0SvcAcctsOU%;CreateUsers;
Pm-T0-AD-User-ServiceAccount-Delete;%T0SvcAcctsOU%;DeleteUsers;
Pm-T0-AD-User-ServiceAccount-FullControl;%T0SvcAcctsOU%;FullControlUsers;
Pm-T0-AD-User-ServiceAccount-PwReset;%T0SvcAcctsOU%;ResetPwd;
Pm-T0-AD-User-Admin-PwReset;%T0AdminsOU%;ResetPwd;
Pm-T0-AD-User-Admin-Manage;%T0AdminsOU%;ManageUsers;
Pm-T0-AD-User-Admin-Create;%T0AdminsOU%;CreateUsers;
Pm-T0-AD-User-Admin-Delete;%T0AdminsOU%;DeleteUsers;
Pm-T0-AD-User-Admin-FullControl;%T0AdminsOU%;FullControlUsers;
Pm-T0-AD-User-User-PwReset;%T0StdUsersOU%;ResetPwd;
Pm-T0-AD-User-User-Manage;%T0StdUsersOU%;ManageUsers;
Pm-T0-AD-User-User-Create;%T0StdUsersOU%;CreateUsers;
Pm-T0-AD-User-User-Delete;%T0StdUsersOU%;DeleteUsers;
Pm-T0-AD-User-User-FullControl;%T0StdUsersOU%;FullControlUsers;
Pm-T0-AD-Group-Permission-Create;%T0PermsOU%;CreateGroups;
Pm-T0-AD-Group-Permission-Delete;%T0PermsOU%;DeleteGroups;
Pm-T0-AD-Group-Permission-Manage;%T0PermsOU%;ManageGroups;
Pm-T0-AD-Group-Claim-Create;%T0ClaimsOU%;CreateGroups;
Pm-T0-AD-Group-Claim-Delete;%T0ClaimsOU%;DeleteGroups;
Pm-T0-AD-Group-Claim-Manage;%T0ClaimsOU%;ManageGroups;
Pm-T0-AD-Group-AMA-Create;%T0AmaOU%;CreateGroups;
Pm-T0-AD-Group-AMA-Delete;%T0AmaOU%;DeleteGroups;
Pm-T0-AD-Group-AMA-Manage;%T0AmaOU%;ManageGroups;
Pm-T0-AD-Group-Role-Create;%T0RolesOU%;CreateGroups;
Pm-T0-AD-Group-Role-Delete;%T0RolesOU%;DeleteGroups;
Pm-T0-AD-Group-Role-Manage;%T0RolesOU%;ManageGroups;
Pm-T1-AD-User-ServiceAccount-Create;%T1SvcAcctsOU%;CreateUsers;
Pm-T1-AD-User-ServiceAccount-Delete;%T1SvcAcctsOU%;DeleteUsers;
Pm-T1-AD-User-ServiceAccount-FullControl;%T1SvcAcctsOU%;FullControlUsers;
Pm-T1-AD-User-ServiceAccount-Manage;%T1SvcAcctsOU%;ManageUsers;
Pm-T1-AD-User-ServiceAccount-PwReset;%T1SvcAcctsOU%;ResetPwd;
Pm-T1-AD-User-Admin-Create;%T1AdminsOU%;CreateUsers;
Pm-T1-AD-User-Admin-Delete;%T1AdminsOU%;DeleteUsers;
Pm-T1-AD-User-Admin-FullControl;%T1AdminsOU%;FullControlUsers;
Pm-T1-AD-User-Admin-PwReset;%T1AdminsOU%;ResetPwd;
Pm-T1-AD-User-Admin-Manage;%T1AdminsOU%;ManageUsers;
Pm-T1-AD-User-User-Create;%T1StdUsersOU%;CreateUsers;
Pm-T1-AD-User-User-Delete;%T1StdUsersOU%;DeleteUsers;
Pm-T1-AD-User-User-FullControl;%T1StdUsersOU%;FullControlUsers;
Pm-T1-AD-User-User-PwReset;%T1StdUsersOU%;ResetPwd;
Pm-T1-AD-User-User-Manage;%T1StdUsersOU%;ManageUsers;
Pm-T1-AD-Group-Permission-Create;%T1PermissionsOU%;CreateGroups;
Pm-T1-AD-Group-Permission-Delete;%T1PermissionsOU%;DeleteGroups;
Pm-T1-AD-Group-Permission-Manage;%T1PermissionsOU%;ManageGroups;
Pm-T1-AD-Group-Role-Create;%T1RolesOU%;CreateGroups;
Pm-T1-AD-Group-Role-Delete;%T1RolesOU%;DeleteGroups;
Pm-T1-AD-Group-Role-Manage;%T1RolesOU%;ManageGroups;
Adm-T0-DS-Admin;%OrgRoot%;FullControl;
Adm-T0-DS-Admin;%OperationsRootOU%;FullControl;
Pm-EA-AD-JoinComputer;%OrgClientsOU%;DomainRejoin;
Pm-EA-AD-JoinComputer;%NewComputersOU%;DomainRejoin;
Pm-EA-AD-JoinComputer;%EAPAWOU%;DomainRejoin;
Pm-T0-AD-JoinComputer;%T0ComputersOU%;DomainJoin;
Pm-T1-AD-JoinComputer;%T1ComputersOU%;DomainJoin;
Adm-T0-ServerDeploy;%T0ComputersOU%;DenyJoinAbuse;
Adm-T0-ServerDeploy;%OrgComputersOU%;DenyJoinAbuse;
Adm-T0-ServerDeploy;%NewComputersOU%;DenyJoinAbuse;
Adm-T0-ServerDeploy;%DisabledComputersOU%;DenyJoinAbuse;
Svc-T0-ServerDeploy;%T0ComputersOU%;DenyJoinAbuse;
Svc-T0-ServerDeploy;%OrgComputersOU%;DenyJoinAbuse;
Svc-T0-ServerDeploy;%NewComputersOU%;DenyJoinAbuse;
Svc-T0-ServerDeploy;%DisabledComputersOU%;DenyJoinAbuse;
Adm-T1-ServerDeploy;%T1ComputersOU%;DenyJoinAbuse;
Adm-T1-ServerDeploy;%OrgComputersOU%;DenyJoinAbuse;
Adm-T1-ServerDeploy;%NewComputersOU%;DenyJoinAbuse;
Adm-T1-ServerDeploy;%DisabledComputersOU%;DenyJoinAbuse;
Svc-T1-ServerDeploy;%T1ComputersOU%;DenyJoinAbuse;
Svc-T1-ServerDeploy;%OrgComputersOU%;DenyJoinAbuse;
Svc-T1-ServerDeploy;%NewComputersOU%;DenyJoinAbuse;
Svc-T1-ServerDeploy;%DisabledComputersOU%;DenyJoinAbuse;
Adm-EA-ClientDeploy;%OrgClientsOU%;DenyJoinAbuse;
Adm-EA-ClientDeploy;%EAPAWOU%;DenyJoinAbuse;
Adm-EA-ClientDeploy;%NewComputersOU%;DenyJoinAbuse;
Adm-EA-ClientDeploy;%DisabledComputersOU%;DenyJoinAbuse;
Svc-EA-ClientDeploy;%OrgClientsOU%;DenyJoinAbuse;
Svc-EA-ClientDeploy;%EAPAWOU%;DenyJoinAbuse;
Svc-EA-ClientDeploy;%NewComputersOU%;DenyJoinAbuse;
Svc-EA-ClientDeploy;%DisabledComputersOU%;DenyJoinAbuse;
Pm-AD-GPO-Link-Domain;;GpoLink;Inheritance=None
Pm-AD-GPO-Link-OrgRoot;%OrgRoot%;GpoLink;Inheritance=All
Pm-AD-GPO-Link-OperationsRoot;%OperationsRootOU%;GpoLink;Inheritance=None
Pm-AD-T0-GPO-Link;%T0OU%;GpoLink;Inheritance=All
Pm-AD-T1-GPO-Link;%T1OU%;GpoLink;Inheritance=All
Pm-AD-EA-GPO-Link;%EAOU%;GpoLink;Inheritance=All
Pm-AD-Entra Sync-DirSyncRead;;EntraDirSyncRead;
Pm-AD-Entra Sync-DirSyncReadAll;;EntraDirSyncReadAll;
Pm-AD-Entra Sync-WriteConsistencyGuid;%OrgUsersOU%;EntraWriteConsistencyGuid;Inheritance=All
Pm-AD-Entra Sync-PwWriteback;%OrgEmployeeAcctsOU%;EntraPwWriteback;Inheritance=All
Pm-AD-Entra Sync-ExchangeWriteback;%OrgUsersOU%;EntraExchangeWriteback;Inheritance=All
Pm-AD-Entra Sync-GroupWriteback;%OrgGroupsOU%;EntraGroupWriteback;Inheritance=All
Pm-AD-Entra Sync-SeamlessSso;%OrgRoot%;EntraSeamlessSso;
