Member;MemberOf
stepconr;Role-Org-Employee
zainarif;Role-Org-Employee
sairuddi;Role-Org-Employee
jeantren;Role-Org-Employee
kensanc;Role-Org-Employee
at0-anderune;Claim-T0-Admin,Adm-T0-DS-Admin,Adm-T0-IGA-Admin,Adm-T0-PKI-Admin,Domain Admins
at0-ashvshar;Claim-T0-Admin,Adm-T0-IGA-Admin
at0-danbaco;Claim-T0-Admin,Adm-T0-Monitoring-Admin
at0-danwils;Claim-T0-Admin,Adm-T0-DB-Admin
at0-franajen;Claim-T0-Admin,Adm-T0-EDR-Admin
at0-janabuen;Claim-T0-Admin,Adm-T0-IGA-Admin
at0-jeantren;Claim-T0-Admin,Adm-T0-PKI-Admin
at0-kareberg1;Claim-T0-Admin,Adm-T0-Monitoring-Admin
at0-peteconn;Claim-T0-Admin,Adm-T0-EDR-Admin
at0-ramemeyy;Claim-T0-Admin,Adm-T0-DB-Admin
at0-stepconr;Claim-T0-Admin,Adm-T0-DB-Admin
at1-anderune;Claim-T1-Admin,Adm-T1-DB-Admin
at1-betsstad;Claim-T1-Admin,Adm-T1-EDR-Admin
at1-danbaco;Claim-T1-Admin,Adm-T1-Monitoring-Admin
at1-danwils;Claim-T1-Admin,Adm-T1-DB-Admin
at1-ebruersa;Claim-T1-Admin,Adm-T1-SAP-Admin
at1-franajen;Claim-T1-Admin,Adm-T1-EDR-Admin
at1-hungting;Claim-T1-Admin,Adm-T1-SAP-Admin
at1-johnkane;Claim-T1-Admin,Adm-T1-Sharepoint-Admin
at1-kevihome;Claim-T1-Admin,Adm-T1-Sharepoint-Admin
at1-marybake;Claim-T1-Admin,Adm-T1-DB-Admin
at1-prassama;Claim-T1-Admin,Adm-T1-DB-Admin
at1-samasmit;Claim-T1-Admin,Adm-T1-DB-Admin
at1-zhenmu;Claim-T1-Admin,Adm-T1-EDR-Admin
t0-anderune;Claim-T0-User,Adm-T0-DS-User,Adm-T0-IGA-User,Adm-T0-PKI-User
t0-ashvshar;Claim-T0-User,Adm-T0-IGA-Admin
t0-danbaco;Claim-T0-User,Adm-T0-Monitoring-Admin
t0-danwils;Claim-T0-User,Adm-T0-DB-Admin
t0-franajen;Claim-T0-User,Adm-T0-EDR-Admin
t0-janabuen;Claim-T0-User,Adm-T0-IGA-Admin
t0-jeantren;Claim-T0-User,Adm-T0-PKI-Admin
t0-kareberg1;Claim-T0-User,Adm-T0-Monitoring-Admin
t0-peteconn;Claim-T0-User,Adm-T0-EDR-Admin
t0-ramemeyy;Claim-T0-User,Adm-T0-DB-Admin
t0-stepconr;Claim-T0-User,Adm-T0-DB-Admin
t1-anderune;Claim-T1-User,Adm-T1-DB-Admin
t1-betsstad;Claim-T1-User,Adm-T1-EDR-Admin
t1-danbaco;Claim-T1-User,Adm-T1-Monitoring-Admin
t1-danwils;Claim-T1-User,Adm-T1-DB-Admin
t1-ebruersa;Claim-T1-User,Adm-T1-SAP-Admin
t1-franajen;Claim-T1-User,Adm-T1-EDR-Admin
t1-hungting;Claim-T1-User,Adm-T1-SAP-Admin
t1-johnkane;Claim-T1-User,Adm-T1-Sharepoint-Admin
t1-kevihome;Claim-T1-User,Adm-T1-Sharepoint-Admin
t1-marybake;Claim-T1-User,Adm-T1-DB-Admin
t1-prassama;Claim-T1-User,Adm-T1-DB-Admin
t1-samasmit;Claim-T1-User,Adm-T1-DB-Admin
t1-zhenmu;Claim-T1-User,Adm-T1-EDR-Admin
sqlissvc;Claim-T1-ServiceAccount,Svc-T1-DB-ServiceAccount
sqlassvc;Claim-T1-ServiceAccount,Svc-T1-DB-ServiceAccount
sqlrssvc;Claim-T1-ServiceAccount,Svc-T1-DB-ServiceAccount
sqlsvc;Claim-T1-ServiceAccount,Svc-T1-DB-ServiceAccount
sqlagentsvc;Claim-T1-ServiceAccount,Svc-T1-DB-ServiceAccount
websvc;Claim-T1-ServiceAccount,Svc-T1-Web-ServiceAccount
iamsvc;Claim-T0-ServiceAccount,Svc-T0-IGA-ServiceAccount
iamadcon;Claim-T0-ServiceAccount
iamadcon;Svc-T0-IGA-AD Connector
iamsqlsvc;Claim-T0-ServiceAccount,Svc-T0-IGA-ServiceAccount
iamsqlassvc;Claim-T0-ServiceAccount,Svc-T0-IGA-ServiceAccount
iamsqlissvc;Claim-T0-ServiceAccount,Svc-T0-IGA-ServiceAccount
iamsqlrssvc;Claim-T0-ServiceAccount,Svc-T0-IGA-ServiceAccount
adfssvc;Claim-T0-ServiceAccount,Svc-T0-DS-ServiceAccount

Adm-EA-Helpdesk-Admin;Pm-EA-AD-User-Employee-PwReset,Pm-EA-AD-User-Employee-Manage,Pm-EA-AD-User-External-PwReset,Pm-EA-AD-User-External-Manage,Pm-EA-AD-User-Robot-PwReset,Pm-EA-AD-User-Robot-Manage,Pm-EA-AD-User-Shared-PwReset,Pm-EA-AD-User-Shared-Manage,Pm-EA-AD-Client-ManageComputer
Adm-EA-EUC-Admin;Pm-EA-AD-JoinComputer,Pm-EA-Client-LocalAdmin,Pm-EA-AD-Client-ManageComputer
Pm-EA-Client-LocalAdmin;Pm-EA-Client-InteractiveLogon,Pm-EA-Client-RdpLogon
Adm-EA-ClientDeploy;Pm-EA-AD-JoinComputer
Svc-EA-ClientDeploy;Pm-EA-AD-JoinComputer
Adm-T0-ServerDeploy;Pm-T0-AD-JoinComputer
Svc-T0-ServerDeploy;Pm-T0-AD-JoinComputer
Adm-T1-ServerDeploy;Pm-T1-AD-JoinComputer
Svc-T1-ServerDeploy;Pm-T1-AD-JoinComputer

Adm-T0-DS-Admin;Administrators

Svc-T0-Entra Sync;Pm-AD-Entra Sync-DirSyncRead,Pm-AD-Entra Sync-DirSyncReadAll,Pm-AD-Entra Sync-WriteConsistencyGuid,Pm-AD-Entra Sync-PwWriteback,Pm-AD-Entra Sync-ExchangeWriteback,Pm-AD-Entra Sync-GroupWriteback,Pm-AD-Entra Sync-SeamlessSso

Claim-T0-User;Pm-T0-PAW-LocalAdmin

Svc-T0-IGA-AD Connector;Pm-EA-AD-User-Employee-Create,Pm-EA-AD-User-Employee-Delete,Pm-EA-AD-User-Employee-FullControl,Pm-EA-AD-User-External-Create,Pm-EA-AD-User-External-Delete,Pm-EA-AD-User-External-FullControl,Pm-EA-AD-User-Robot-Create,Pm-EA-AD-User-Robot-Delete,Pm-EA-AD-User-Robot-FullControl,Pm-EA-AD-User-Shared-Create,Pm-EA-AD-User-Shared-Delete,Pm-EA-AD-User-Shared-FullControl,Pm-EA-AD-Group-Role-Create,Pm-EA-AD-Group-Role-Delete,Pm-EA-AD-Group-Role-Manage,Pm-EA-AD-Group-Permission-Create,Pm-EA-AD-Group-Permission-Delete,Pm-EA-AD-Group-Permission-Manage
Svc-T0-IGA-AD Connector;Pm-T0-AD-User-ServiceAccount-FullControl,Pm-T0-AD-User-ServiceAccount-Create,Pm-T0-AD-User-ServiceAccount-Delete,Pm-T0-AD-User-Admin-FullControl,Pm-T0-AD-User-Admin-Create,Pm-T0-AD-User-Admin-Delete,Pm-T0-AD-User-User-FullControl,Pm-T0-AD-User-User-Create,Pm-T0-AD-User-User-Delete
Svc-T0-IGA-AD Connector;Pm-T0-AD-Group-Role-FullControl,Pm-T0-AD-Group-Role-Create,Pm-T0-AD-Group-Role-Delete,Pm-T0-AD-Group-Permission-FullControl,Pm-T0-AD-Group-Permission-Create,Pm-T0-AD-Group-Permission-Delete,Pm-T0-AD-Group-Claim-FullControl,Pm-T0-AD-Group-Claim-Create,Pm-T0-AD-Group-Claim-Delete,Pm-T0-AD-Group-AMA-Create,Pm-T0-AD-Group-AMA-Delete
Svc-T0-IGA-AD Connector;Pm-T1-AD-User-ServiceAccount-FullControl,Pm-T1-AD-User-ServiceAccount-Create,Pm-T1-AD-User-ServiceAccount-Delete,Pm-T1-AD-User-Admin-FullControl,Pm-T1-AD-User-Admin-Create,Pm-T1-AD-User-Admin-Delete,Pm-T1-AD-User-User-FullControl,Pm-T1-AD-User-User-Create,Pm-T1-AD-User-User-Delete
Svc-T0-IGA-AD Connector;Pm-T1-AD-Group-Role-FullControl,Pm-T1-AD-Group-Role-Create,Pm-T1-AD-Group-Role-Delete,Pm-T1-AD-Group-Permission-FullControl,Pm-T1-AD-Group-Permission-Create,Pm-T1-AD-Group-Permission-Delete

Pm-T0-PAW-LocalAdmin;Pm-T0-PAW-InteractiveLogon,Pm-T0-PAW-RdpLogon

Claim-T1-User;Pm-T1-PAW-LocalAdmin
Pm-T1-PAW-LocalAdmin;Pm-T1-PAW-InteractiveLogon,Pm-T1-PAW-RdpLogon

Ama-T0-Admin;Claim-T0-Admin
Ama-T0-User;Claim-T0-User
Ama-T1-Admin;Claim-T1-Admin
Ama-T1-User;Claim-T1-User
Ama-EA-Employee;Claim-EA-Employee
Ama-EA-External;Claim-EA-External
Ama-EA-Robot;Claim-EA-Robot
Ama-EA-Shared;Claim-EA-Shared
