Name;Type;Scope;Tier
Role-Org-Employee;Role;Universal;EA
Role-Org-External;Role;Universal;EA
Role-Org-Robot;Role;Universal;EA
Role-Org-Shared;Role;Universal;EA
Device-Org-Win-Client;ClientGroup;Universal;EA

Srv-T0-Win;DSServerGroup;Universal;T0
Srv-T0-Linux;DSServerGroup;Universal;T0
PAW-T0;DSServerGroup;Universal;T0

PAW-T1;DSServerGroup;Universal;T1

Svc-T0-IGA-AD Connector;DSRole;Universal;T0
Adm-T0-ServerDeploy;DSRole;Universal;T0
Svc-T0-ServerDeploy;DSRole;Universal;T0
Adm-T1-ServerDeploy;DSRole;Universal;T1
Svc-T1-ServerDeploy;DSRole;Universal;T1
Svc-T0-Entra Sync;DSRole;Universal;T0
Adm-EA-ClientDeploy;DSRole;Universal;EA
Svc-EA-ClientDeploy;DSRole;Universal;EA
Adm-EA-EUC-Admin;DSRole;Universal;EA
Adm-EA-Helpdesk-Admin;DSRole;Universal;EA

Pm-T0-AD-JoinComputer;DSPermission;DomainLocal;T0
Pm-T1-AD-JoinComputer;DSPermission;DomainLocal;T0
Pm-EA-Client-InteractiveLogon;DSPermission;DomainLocal;EA
Pm-EA-Client-RdpLogon;DSPermission;DomainLocal;EA
Pm-EA-AD-Client-ManageComputer;DSPermission;DomainLocal;T0
Pm-EA-Client-LocalAdmin;DSPermission;DomainLocal;EA
Pm-EA-AD-JoinComputer;DSPermission;DomainLocal;T0
Pm-EA-AD-User-Employee-ReadAllProperties;DSPermission;DomainLocal;T0
Pm-EA-AD-User-Employee-PwReset;DSPermission;DomainLocal;T0
Pm-EA-AD-User-Employee-Create;DSPermission;DomainLocal;T0
Pm-EA-AD-User-Employee-Delete;DSPermission;DomainLocal;T0
Pm-EA-AD-User-Employee-Manage;DSPermission;DomainLocal;T0
Pm-EA-AD-User-Employee-FullControl;DSPermission;DomainLocal;T0
Pm-EA-AD-User-External-ReadAllProperties;DSPermission;DomainLocal;T0
Pm-EA-AD-User-External-PwReset;DSPermission;DomainLocal;T0
Pm-EA-AD-User-External-Create;DSPermission;DomainLocal;T0
Pm-EA-AD-User-External-Delete;DSPermission;DomainLocal;T0
Pm-EA-AD-User-External-Manage;DSPermission;DomainLocal;T0
Pm-EA-AD-User-External-FullControl;DSPermission;DomainLocal;T0
Pm-EA-AD-User-Robot-ReadAllProperties;DSPermission;DomainLocal;T0
Pm-EA-AD-User-Robot-PwReset;DSPermission;DomainLocal;T0
Pm-EA-AD-User-Robot-Create;DSPermission;DomainLocal;T0
Pm-EA-AD-User-Robot-Delete;DSPermission;DomainLocal;T0
Pm-EA-AD-User-Robot-Manage;DSPermission;DomainLocal;T0
Pm-EA-AD-User-Robot-FullControl;DSPermission;DomainLocal;T0
Pm-EA-AD-User-Shared-ReadAllProperties;DSPermission;DomainLocal;T0
Pm-EA-AD-User-Shared-PwReset;DSPermission;DomainLocal;T0
Pm-EA-AD-User-Shared-Create;DSPermission;DomainLocal;T0
Pm-EA-AD-User-Shared-Delete;DSPermission;DomainLocal;T0
Pm-EA-AD-User-Shared-Manage;DSPermission;DomainLocal;T0
Pm-EA-AD-User-Shared-FullControl;DSPermission;DomainLocal;T0
Pm-EA-AD-Group-Role-Manage;DSPermission;DomainLocal;T0
Pm-EA-AD-Group-Role-Create;DSPermission;DomainLocal;T0
Pm-EA-AD-Group-Role-Delete;DSPermission;DomainLocal;T0
Pm-EA-AD-Group-Permission-Manage;DSPermission;DomainLocal;T0
Pm-EA-AD-Group-Permission-Create;DSPermission;DomainLocal;T0
Pm-EA-AD-Group-Permission-Delete;DSPermission;DomainLocal;T0
